Names
Ahmed
Ali
Amir
Ayan
Bilal
Danyal
Farhan
Faisal
Ghazi
Hamza
Hassan
Imran
Ismail
Jahanzaib
Jawad
Kamran
Kashif
Khizar
Luqman
Majid
Mubashir
Mudassir
Mustafa
Nabeel
Nadeem
Nasir
Omar
Qasim
Rashid
Rehan
Saad
Saeed
Salman
Shoaib
Tahir
Talha
Usman
Waqas
Xavier
Yasir
Yousuf
Zafar
Zain
Zohaib
Aariz
Abdul
Ahad
Akbar
Arham
Arsalan
Asad
Asher
Asim
Azhar
Baqir
Basit
Dawood
Ehsan
Emaad
Faizan
Fareed
Gulzar
Haider
Haris
Ibrahim
Jibran
Khalid
Labib
Maaz
Majid
Mansoor
Nashit
Noman
Osman
Qamar
Rizwan
Sajid
Samir
Taimoor
Umair
Vicky
Waseem
Xander
Yasin
Zayd
Zeeshan
Zubair
